년도,구,주민 1인당 생활폐기물(쓰레기) 배출량(㎏/인/일),생활폐기물 배출량(톤/일),주민수(명)
2014,서초구,1.2,546.3,454288
2014,강남구,1.39,808.2,583446
2014,송파구,0.83,555.5,671794
2014,강동구,0.82,392.6,481332
2015,계,0.92,9438.7,10297138
2015,종로구,1.98,324.4,163822
2015,중구,3.72,500.3,134329
2015,용산구,1.03,255.1,247909
2015,성동구,0.85,259.4,305065
2015,광진구,0.9,339.4,375180
2015,동대문구,1.09,408.3,373824
2015,중랑구,0.94,392.1,418620
2015,성북구,0.76,359.2,469560
2015,강북구,0.69,230.2,334426
2015,도봉구,0.89,314.7,353241
2015,노원구,0.8,464.2,578221
2015,은평구,0.45,227.5,502578
2015,서대문구,0.93,301.5,323105
2015,마포구,1.16,461.6,398351
2015,양천구,0.66,322.5,489010
2015,강서구,0.73,434.2,595691
2015,구로구,0.69,314.7,454604
2015,금천구,0.94,240.1,256167
2015,영등포구,0.93,389.9,417811
2015,동작구,0.72,297.9,412774
2015,관악구,0.64,337.9,529031
2015,서초구,1.25,562.3,451258
2015,강남구,1.23,713.2,581760
2015,송파구,0.86,575.7,667480
2015,강동구,0.89,412.4,463321
2016,계,0.94,9608,10204057
2016,종로구,2.51,406,161922
2016,중구,3.71,499.2,134409
2016,용산구,1.07,262.1,245102
2016,성동구,0.84,257.8,307161
2016,광진구,0.88,326.3,372104
2016,동대문구,1.15,426.6,370312
2016,중랑구,0.93,387.9,415677
2016,성북구,0.78,358.3,461617
2016,강북구,0.7,230,330704
2016,도봉구,0.9,315.1,350272
2016,노원구,0.8,455.1,571212
2016,은평구,0.57,283.4,495937
2016,서대문구,0.92,298.4,325871
2016,마포구,1.17,456.6,390887
2016,양천구,0.6,287.9,481845
2016,강서구,0.71,425.3,602104
2016,구로구,0.71,318.2,449600
2016,금천구,0.94,239.6,254654
2016,영등포구,1,406.8,406779
2016,동작구,0.68,280.5,413247
2016,관악구,0.65,339.7,525607
2016,서초구,1.26,570.1,451477
2016,강남구,1.24,707.2,572140
2016,송파구,0.86,569.7,664946
2016,강동구,1.12,500.2,448471
2017,계,0.91,9217.3,10124579
2017,종로구,2.28,375.1,164257
2017,중구,3.31,446,134593
2017,용산구,1.07,262.7,244444
2017,성동구,0.82,255.7,312711
2017,광진구,0.86,319.2,372298
2017,동대문구,1.15,422.5,366011
2017,중랑구,0.88,361.3,412780
2017,성북구,0.76,345.5,455407
2017,강북구,0.69,224.9,328002
2017,도봉구,0.7,243.6,346234
2017,노원구,0.75,416.7,558075
2017,은평구,0.65,319.6,491202
2017,서대문구,0.92,298.3,325028
2017,마포구,1.13,437.7,385783
2017,양천구,0.62,295.4,475018
2017,강서구,0.76,463.7,608255
2017,구로구,0.7,310.8,441559
2017,금천구,0.95,241.8,253491
2017,영등포구,0.85,340.7,402024
2017,동작구,0.66,269,408493
2017,관악구,0.69,361.8,520929
2017,서초구,1.28,571.7,445401
